doc,target,method,seconds,bytes,fits,error,ocr_chars,ocr_lost,ocr_loss_pct,worst_ssim,text_chars_in,text_chars_out
certificate_scan,100000,gs_ebook,0.18,174062,False,,924,0,0.0,0.9591,0,0
certificate_scan,100000,gs_screen,0.17,67271,True,,924,169,18.29,0.7994,0,0
certificate_scan,100000,gs_ladder,0.46,67271,True,,924,169,18.29,0.7994,0,0
certificate_scan,100000,raster_target,0.18,99152,True,,924,0,0.0,0.925,0,0
certificate_scan,100000,chonk,4.52,99976,True,,924,0,0.0,0.9508,0,0
certificate_scan,200000,gs_ebook,0.18,174062,True,,924,0,0.0,0.9591,0,0
certificate_scan,200000,gs_screen,0.19,67271,True,,924,169,18.29,0.7994,0,0
certificate_scan,200000,gs_ladder,0.3,174062,True,,924,0,0.0,0.9591,0,0
certificate_scan,200000,raster_target,0.19,198588,True,,924,0,0.0,0.9413,0,0
certificate_scan,200000,chonk,4.23,186188,True,,924,0,0.0,0.9651,0,0
certificate_scan,300000,gs_ebook,0.17,174062,True,,924,0,0.0,0.9591,0,0
certificate_scan,300000,gs_screen,0.18,67271,True,,924,169,18.29,0.7994,0,0
certificate_scan,300000,gs_ladder,0.33,174062,True,,924,0,0.0,0.9591,0,0
certificate_scan,300000,raster_target,0.2,299106,True,,924,0,0.0,0.9461,0,0
certificate_scan,300000,chonk,6.92,277107,True,,924,0,0.0,0.9678,0,0
certificate_scan,1000000,gs_ebook,0.17,174062,True,,924,0,0.0,0.9591,0,0
certificate_scan,1000000,gs_screen,0.25,67271,True,,924,169,18.29,0.7994,0,0
certificate_scan,1000000,gs_ladder,0.29,174062,True,,924,0,0.0,0.9591,0,0
certificate_scan,1000000,raster_target,0.2,616440,True,,924,0,0.0,0.9522,0,0
certificate_scan,1000000,chonk,3.22,875336,True,,924,0,0.0,0.9838,0,0
certificate_scan,2000000,gs_ebook,0.18,174062,True,,924,0,0.0,0.9591,0,0
certificate_scan,2000000,gs_screen,0.19,67271,True,,924,169,18.29,0.7994,0,0
certificate_scan,2000000,gs_ladder,0.3,174062,True,,924,0,0.0,0.9591,0,0
certificate_scan,2000000,raster_target,0.24,616440,True,,924,0,0.0,0.9522,0,0
certificate_scan,2000000,chonk,1.82,1982110,True,,924,0,0.0,0.989,0,0
